"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ce test est le premier aprés avoir initier le projet .","405","has title","Automation Project","Wed May 07 18:48:42 UTC 2025","passed","Wed May 07 18:48:42 UTC 2025","First test","playwright","",""
"Ce test a pour but d'ouvrire une nouvelle fenêtre et maîtriser les checkBox / buton radio .","15205","Test automatisé Playwright","Automation Project","Wed May 07 18:49:30 UTC 2025","failed","Wed May 07 18:49:46 UTC 2025","New window","OrangeHrm","",""
"","1858","The member logining","","Wed May 07 18:48:56 UTC 2025","passed","Wed May 07 18:48:58 UTC 2025","","","",""
"Ce test vérifie la connexion avec des identifiants valides.","8225","Connexion utilisateur valide","Automation Project","Wed May 07 18:48:48 UTC 2025","passed","Wed May 07 18:48:56 UTC 2025","Authentification","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","2990","Accéder sur le site et s'authentifier","Automation Project","Wed May 07 18:49:09 UTC 2025","passed","Wed May 07 18:49:12 UTC 2025","authentification & saisir les données dans la page pim","OrangeHrm","",""
"Ce test est Pour Gérer un nouvel onglet et revenir à la page principale .","5361","Gérer un nouvel onglet et revenir à la page principale","Automation Project","Wed May 07 18:48:43 UTC 2025","passed","Wed May 07 18:48:48 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"Ce test est spécialement pour ajouter tous les employés via un fichier excel déjà rempli .","22444","Login and add all employees from file Excel","Automation Project","Wed May 07 18:48:46 UTC 2025","passed","Wed May 07 18:49:08 UTC 2025","Add Employees With excelFiles","OrangeHrm","",""
"","8398","Login and add employees from Excel","","Wed May 07 18:48:33 UTC 2025","passed","Wed May 07 18:48:41 UTC 2025","","","",""
"","612","get started link","","Wed May 07 18:48:42 UTC 2025","passed","Wed May 07 18:48:43 UTC 2025","","","",""
