"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4103","Accéder sur le site et s'authentifier","chromium","Mon May 05 16:18:17 UTC 2025","passed","Mon May 05 16:18:21 UTC 2025","","test.spec.ts","",""
"","2460","member login","Automation Project","Mon May 05 16:18:06 UTC 2025","passed","Mon May 05 16:18:08 UTC 2025","Authentification","OrangeHrm","",""
"","5685","Gérer un nouvel onglet et revenir à la page principale","chromium","Mon May 05 16:18:00 UTC 2025","passed","Mon May 05 16:18:06 UTC 2025","","handlingandTabExample.spec.ts","",""
"","439","has title","chromium","Mon May 05 16:17:59 UTC 2025","passed","Mon May 05 16:17:59 UTC 2025","","example.spec.ts","",""
"","2570","The member logining","chromium","Mon May 05 16:18:08 UTC 2025","passed","Mon May 05 16:18:11 UTC 2025","","loginMember.spec.ts","",""
"","6546","Test automatisé Playwright","chromium","Mon May 05 16:18:11 UTC 2025","passed","Mon May 05 16:18:17 UTC 2025","","newWindowSelectCheckboxRadiobutton.spec.ts","",""
"","21440","Login and add all employees from file Excel","chromium","Mon May 05 16:18:00 UTC 2025","passed","Mon May 05 16:18:22 UTC 2025","","addEmployee.spec.ts","",""
"","733","get started link","chromium","Mon May 05 16:17:59 UTC 2025","passed","Mon May 05 16:18:00 UTC 2025","","example.spec.ts","",""
"","9821","Login and add employees from Excel","chromium","Mon May 05 16:17:48 UTC 2025","passed","Mon May 05 16:17:58 UTC 2025","","addEmployee.spec.ts","",""
