"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2169","member login","Automation Project","Mon May 05 15:26:59 UTC 2025","passed","Mon May 05 15:27:01 UTC 2025","Authentification","OrangeHrm","",""
"","2152","The member logining","chromium","Mon May 05 15:27:01 UTC 2025","passed","Mon May 05 15:27:03 UTC 2025","","loginMember.spec.ts","",""
"","3672","Accéder sur le site et s'authentifier","chromium","Mon May 05 15:27:10 UTC 2025","passed","Mon May 05 15:27:14 UTC 2025","","test.spec.ts","",""
"","19724","Login and add all employees from file Excel","chromium","Mon May 05 15:26:33 UTC 2025","passed","Mon May 05 15:26:52 UTC 2025","","addEmployee.spec.ts","",""
"","5008","Gérer un nouvel onglet et revenir à la page principale","chromium","Mon May 05 15:26:53 UTC 2025","passed","Mon May 05 15:26:58 UTC 2025","","handlingandTabExample.spec.ts","",""
"","377","has title","chromium","Mon May 05 15:26:52 UTC 2025","passed","Mon May 05 15:26:53 UTC 2025","","example.spec.ts","",""
"","571","get started link","chromium","Mon May 05 15:26:53 UTC 2025","passed","Mon May 05 15:26:53 UTC 2025","","example.spec.ts","",""
"","8483","Login and add employees from Excel","chromium","Mon May 05 15:26:24 UTC 2025","passed","Mon May 05 15:26:33 UTC 2025","","addEmployee.spec.ts","",""
"","7007","Test automatisé Playwright","chromium","Mon May 05 15:27:03 UTC 2025","passed","Mon May 05 15:27:10 UTC 2025","","newWindowSelectCheckboxRadiobutton.spec.ts","",""
