"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1609","member login","Automation Project","Mon May 05 15:40:37 UTC 2025","passed","Mon May 05 15:40:38 UTC 2025","Authentification","OrangeHrm","",""
"","1652","The member logining","chromium","Mon May 05 15:40:38 UTC 2025","passed","Mon May 05 15:40:40 UTC 2025","","loginMember.spec.ts","",""
"","4496","Gérer un nouvel onglet et revenir à la page principale","chromium","Mon May 05 15:40:32 UTC 2025","passed","Mon May 05 15:40:36 UTC 2025","","handlingandTabExample.spec.ts","",""
"","5005","Test automatisé Playwright","chromium","Mon May 05 15:40:40 UTC 2025","passed","Mon May 05 15:40:45 UTC 2025","","newWindowSelectCheckboxRadiobutton.spec.ts","",""
"","696","get started link","chromium","Mon May 05 15:40:31 UTC 2025","passed","Mon May 05 15:40:32 UTC 2025","","example.spec.ts","",""
"","340","has title","chromium","Mon May 05 15:40:31 UTC 2025","passed","Mon May 05 15:40:31 UTC 2025","","example.spec.ts","",""
"","19196","Login and add all employees from file Excel","chromium","Mon May 05 15:40:33 UTC 2025","passed","Mon May 05 15:40:52 UTC 2025","","addEmployee.spec.ts","",""
"","2925","Accéder sur le site et s'authentifier","chromium","Mon May 05 15:40:45 UTC 2025","passed","Mon May 05 15:40:48 UTC 2025","","test.spec.ts","",""
"","8678","Login and add employees from Excel","chromium","Mon May 05 15:40:22 UTC 2025","passed","Mon May 05 15:40:30 UTC 2025","","addEmployee.spec.ts","",""
